Cruise,Sample ID,Station,Latitude,Longitude,Date,Time,Depth,Sample type,Sample depth,Volume filtered,Sample ID,PO4(µM),SiO2(µM),NO3+NO2(µM),Date Analyzed,Notes
IYS_2020,N1,1,48.40,-128.00,2020-03-12,19:00,2600,Nutrients,5,13,N1,0.635,5.117,8.034,2021-10-27,
IYS_2020,N2,1,48.40,-128.00,2020-03-12,19:00,2600,Nutrients,25,13,N2,0.745,5.054,8.048,2021-10-27,
IYS_2020,N3,1,48.40,-128.00,2020-03-12,19:00,2600,Nutrients,50,13,N3,0.755,5.067,7.887,2021-10-27,
IYS_2020,N4,1,48.40,-128.00,2020-03-12,19:00,2600,Nutrients,100,13,N4,1.048,10.589,13.426,2021-10-27,
IYS_2020,N5,1,48.40,-128.00,2020-03-12,19:00,2600,Nutrients,300,13,N5,1.933,52.869,37.332,2021-10-27,
IYS_2020,N6,2,48.38,-129.51,2020-03-13,6:30,2100,Nutrients,5,13,N6,0.701,4.456,6.775,2021-10-27,
IYS_2020,N7,2,48.38,-129.51,2020-03-13,6:30,2100,Nutrients,25,13,N7,0.656,4.038,6.386,2021-10-27,
IYS_2020,N8,2,48.38,-129.51,2020-03-13,6:30,2100,Nutrients,50,13,N8,0.640,7.256,8.641,2021-10-27,
IYS_2020,N9,2,48.38,-129.51,2020-03-13,6:30,2100,Nutrients,100,13,N9,0.782,5.007,7.065,2021-10-27,Niskin did not deploy for the 300m 
IYS_2020,N10,3,48.38,-129.51,2020-03-15,9:00,4100,Nutrients,5,13,N10,0.749,4.124,7.743,2021-10-27,
IYS_2020,N11,3,47.43,-136.96,2020-03-15,9:00,4100,Nutrients,25,13,N11,0.502,2.921,5.194,2021-10-27,
IYS_2020,N12,3,47.43,-136.96,2020-03-15,9:00,4100,Nutrients,50,13,N12,0.682,3.312,6.049,2021-10-27,
IYS_2020,N13,3,47.43,-136.96,2020-03-15,9:00,4100,Nutrients,100,13,N13,0.671,3.184,5.612,2021-10-27,
IYS_2020,N14,3,47.43,-136.96,2020-03-15,9:00,4100,Nutrients,300,13,N14,2.264,54.591,34.035,2021-10-27,
IYS_2020,N15,4,47.43,-138.47,2020-03-15,19:58,4110,Nutrients,5,13,N15,0.805,5.955,8.586,2021-10-27,
IYS_2020,N16,4,47.43,-138.47,2020-03-15,19:58,4110,Nutrients,25,13,N16,0.829,5.948,8.259,2021-10-27,
IYS_2020,N17,4,47.43,-138.47,2020-03-15,19:58,4110,Nutrients,50,13,N17,0.835,5.962,8.269,2021-10-27,
IYS_2020,N18,4,47.43,-138.47,2020-03-15,19:58,4110,Nutrients,100,13,N18,0.688,5.960,8.383,2021-10-27,
